Keyword,frequency,category_ids
eyes,13,"[1, 10, 22, 28, 24]"
fake,13,"[23, 28, 22, 24, 20, 10, 1]"
olympics,13,"[17, 20, 23]"
kodak,13,"[10, 22]"
finale,13,"[20, 24, 22]"
pizza,13,"[24, 26, 23, 20, 22, 27]"
spurs,13,"[23, 17]"
woman,13,"[10, 1, 24, 17, 25, 27, 15]"
pink,13,"[10, 24, 26, 1]"
dead,13,"[1, 24, 10, 20, 23, 22]"
kanye,13,"[24, 10, 22]"
noah,13,"[24, 22, 25]"
hulu,13,"[24, 1]"
guess,13,"[22, 24, 20, 23]"
bobby,13,"[10, 24, 17, 23, 22]"
morty,13,"[24, 1]"
enhypen,13,"[10, 24, 22]"
choreography,13,[10]
speedrun,13,"[23, 1, 22, 20]"
premiere,13,"[24, 10, 20, 2, 1]"
tried,13,"[1, 22, 17, 28, 27, 20, 26, 23, 24]"
block,13,"[10, 1, 20, 2, 24, 22]"
playstation,13,"[20, 28, 1, 24, 26]"
naruto,13,"[1, 20]"
break,13,"[20, 10, 24, 27, 28, 22]"
secrets,13,"[1, 26, 24, 28, 20]"
blood,13,"[28, 10, 24, 22, 1, 20, 26]"
tesla,13,"[28, 24, 2, 25]"
creative,13,"[24, 20]"
two,13,"[20, 27, 28, 24, 22, 1, 17, 23]"
legacy,13,"[24, 20, 17]"
moment,13,"[25, 10, 24, 23, 17, 22, 29]"
trump,13,"[25, 23, 24]"
cardi,13,"[10, 24]"
londra,13,"[10, 24]"
jhay,13,[10]
snoop,13,"[17, 10, 24]"
lisa,13,"[10, 22, 1, 24]"
oscars,13,"[25, 24, 23, 27, 22, 29, 10, 1]"
paulo,13,"[10, 24]"
da,13,"[10, 22, 17, 24]"
cortez,13,[10]
miley,13,"[10, 24, 22]"
talent,13,"[23, 22, 24, 20]"
box,13,"[24, 20, 15, 17]"
coldplay,13,"[10, 24, 22, 29]"
seek,13,"[24, 20, 22]"
egg,13,"[24, 28, 22, 23, 15, 1]"
laugh,13,"[10, 20, 24, 23]"
gave,13,"[24, 20, 22, 23, 25]"
doctor,13,"[24, 20, 1, 27]"
many,12,"[1, 24, 27, 25, 17, 22, 20]"
americas,12,"[24, 17, 10, 27]"
que,12,[10]
item,12,"[20, 17, 22]"
treasure,12,"[24, 22, 17]"
ukraine,12,"[25, 27]"
gta,12,"[20, 22]"
funniest,12,"[20, 24, 23]"
french,12,"[10, 1, 17, 20, 24]"
phone,12,"[28, 10, 24, 17, 25, 22, 20]"
stereotypes,12,"[17, 22]"
buzzer,12,[24]
animated,12,"[1, 20, 24]"
lego,12,"[20, 24, 26]"
nicky,12,"[24, 10]"
lie,12,"[22, 24, 10, 28]"
want,12,"[10, 23, 24, 28, 25]"
london,12,"[17, 22, 19, 10, 24]"
biggest,12,"[28, 1, 27, 20, 24, 10, 22]"
entire,12,"[20, 22, 17, 19, 28]"
kbs,12,"[24, 10]"
still,12,"[10, 22, 24, 25]"
takes,12,"[17, 26, 20, 27, 25, 24]"
ronaldo,12,"[17, 24]"
bet,12,"[10, 27, 24, 22]"
meet,12,"[28, 25, 22, 23, 20, 17, 24]"
fish,12,"[22, 28, 17, 24, 10, 20, 15]"
ocean,12,"[27, 24, 20, 22, 10]"
press,12,"[24, 10, 17, 28, 25]"
direct,12,"[20, 1]"
candy,12,"[10, 28, 24, 22, 27]"
prod,12,"[10, 22]"
trapped,12,"[20, 24, 1, 22]"
kill,12,"[20, 10, 26, 24, 27]"
hunters,12,"[20, 22]"
santos,12,[10]
hard,12,"[20, 22, 24, 1, 10]"
record,12,"[24, 28, 1, 17, 22, 2, 20]"
natasha,12,[10]
heat,12,"[25, 24, 17]"
goals,12,"[24, 17, 10, 29]"
robot,12,"[28, 17, 23, 27, 20, 24]"
says,12,"[20, 24, 25, 23, 17]"
sech,12,[10]
natti,12,[10]
gucci,12,"[24, 10]"
fastest,12,"[20, 17, 24, 2, 28, 22, 27]"
alone,12,"[20, 22, 10, 24, 27, 1]"
weekend,12,"[24, 17, 23]"
football,12,"[17, 24, 22]"
scott,12,"[10, 24, 17, 1]"
dogg,12,"[17, 10, 24]"
wisin,12,[10]
played,12,"[24, 1, 20, 22]"
boss,12,"[10, 24, 1, 20, 25]"
surprise,12,"[24, 28, 17, 22, 1, 23, 10]"
speedrunner,12,"[20, 1]"
sing,12,"[20, 23, 10, 24, 1]"
hold,12,"[17, 10, 25, 24]"
high,12,"[22, 10, 23, 29, 24, 17]"
venom,12,"[10, 24, 1, 20]"
long,11,"[20, 24, 10, 26, 22]"
cast,11,"[22, 24, 10]"
ateez에이티즈,11,[10]
gaming,11,"[24, 22, 20]"
america,11,"[24, 10, 22, 1, 25, 17]"
shot,11,"[17, 24, 22, 10, 25]"
meghan,11,"[25, 24, 10]"
judges,11,[24]
dumb,11,"[10, 24, 20, 22]"
turning,11,"[10, 1, 24, 28]"
tunnel,11,"[24, 10]"
toothbrush,11,[22]
pregnant,11,"[24, 22, 23]"
concept,11,"[10, 20]"
si,11,[10]
lv,11,"[17, 24]"
project,11,"[10, 28, 24, 22, 20]"
mendes,11,"[10, 24]"
feid,11,[10]
shawn,11,"[10, 24]"
shy,11,"[10, 24]"
steve,11,"[20, 24, 10, 17, 26]"
tech,11,"[10, 22, 28]"
mob,11,"[20, 24]"
logic,11,"[1, 24]"
morning,11,"[10, 24, 25]"
genius,11,"[22, 24, 27, 28]"
elizabeth,11,"[25, 24, 27]"
lets,11,"[10, 24, 23, 27, 22, 28, 20, 2]"
arcangel,11,[10]
nle,11,[10]
demo,11,"[28, 20]"
reality,11,"[23, 20, 22]"
raw,11,"[17, 25]"
mark,11,"[22, 24, 10, 29, 27]"
sin,11,"[10, 1]"
hand,11,"[24, 10, 27, 20, 17, 22]"
63rd,11,[10]
hit,11,"[23, 17, 24, 10, 25]"
debate,11,"[24, 25, 27, 23, 10]"
boys,11,"[24, 10, 20, 23, 1, 22]"
bzrp,11,[24]
playing,11,"[24, 22, 20, 1]"
tjay,11,[10]
agt,11,[24]
devil,11,"[1, 10, 24]"
drink,11,"[28, 10, 26, 24, 27]"
epic,11,"[17, 20, 24, 1, 19]"
youtubers,11,"[24, 20]"
survive,11,"[24, 20, 28, 26, 1]"
finally,11,"[28, 17, 20, 25, 24, 22, 15]"
bros,11,"[24, 20, 1]"
twin,11,"[24, 22, 2, 10, 23, 1]"
mcgregor,11,"[10, 17, 22, 24]"
strange,11,"[24, 27, 1, 23]"
thug,11,[10]
history,11,"[24, 27, 1, 17, 22, 20]"
girl,11,"[10, 20, 22, 24]"
tears,11,"[10, 24, 20]"
vote,11,[20]
anderson,11,"[10, 26, 17]"
choppa,11,[10]
experience,11,"[20, 28, 22, 24, 23, 10]"
random,11,"[24, 20, 23, 26, 22]"
competition,11,"[24, 20, 17]"
easy,11,"[10, 24, 1, 22]"
royalty,11,"[24, 22, 20]"
english,11,"[10, 28, 20, 25, 1, 29]"
gone,11,"[10, 17, 28, 24]"
something,10,"[22, 20, 1, 24, 10, 28]"
well,10,"[10, 24, 27, 20, 22, 23]"
hotel,10,"[24, 20, 10, 17, 23, 22]"
wow,10,"[10, 24, 22, 20]"
title,10,"[24, 17, 25, 1]"
fallon,10,"[22, 23, 10]"
said,10,"[24, 17, 10, 25, 23]"
manhunt,10,"[20, 22]"
player,10,"[20, 24, 1]"
shocks,10,"[24, 17]"
heres,10,"[20, 22]"
noche,10,[10]
space,10,"[28, 20, 24, 17, 27]"
20th,10,"[1, 25, 24]"
carrión,10,"[24, 10]"
sza,10,[10]
mcdonalds,10,"[20, 24, 25, 1, 19]"
seen,10,"[24, 17]"
green,10,"[22, 10, 20, 28, 23]"
vert,10,"[10, 24, 20]"
valorant,10,[20]
vegas,10,"[10, 23, 17, 22]"
benny,10,"[10, 22]"
logan,10,"[17, 22, 24]"
tips,10,"[20, 22, 26, 23]"
pretty,10,"[24, 10, 22, 1]"
lebron,10,"[10, 22, 20, 17, 23]"
nets,10,"[22, 17]"
garcia,10,"[10, 17]"
투모로우바이투게더,10,"[10, 24]"
hogwarts,10,"[1, 20]"
na,10,"[10, 24, 23, 22]"
paris,10,"[17, 1, 10, 24]"
camera,10,"[20, 24, 28, 15, 27]"
birth,10,"[10, 1, 22, 24, 23]"
princess,10,"[25, 10, 24, 23]"
bank,10,"[24, 28, 17, 10]"
shots,10,"[24, 23, 17, 10]"
realistic,10,"[20, 24]"
khaled,10,[10]
jenner,10,"[22, 26, 24]"
wayne,10,[10]
kep1er,10,"[22, 10, 24]"
barcelona,10,[17]
gifts,10,"[20, 24, 22, 26]"
iq,10,"[20, 22, 24]"
maria,10,[10]
guide,10,"[26, 10, 20, 28, 27, 24]"
uzi,10,"[10, 24, 20]"
double,10,"[17, 20, 24, 26]"
insurance,10,[17]
brother,10,"[24, 22, 23, 10, 25]"
emma,10,"[24, 26, 23, 17]"
burger,10,"[24, 26, 20]"
lanez,10,[10]
jennifer,10,"[10, 24]"
impressions,10,[28]
premier,10,"[17, 24]"
showcase,10,"[20, 10, 24]"
champion,10,"[20, 17, 24]"
fan,10,"[17, 10, 24, 1, 28, 23]"
busting,10,"[24, 22, 20]"
buccaneers,10,[17]
arsenal,10,"[17, 24]"
find,10,"[1, 20, 27, 23, 22, 10, 24, 17]"
evil,10,"[1, 24, 28, 20]"
makeover,10,[24]
fury,10,"[1, 20, 17]"
chase,10,"[17, 24, 22]"
winter,10,"[10, 24, 20, 17]"
giving,10,"[24, 22, 28]"
pokemon,10,"[1, 24, 20]"
class,10,"[24, 10, 20, 28, 27]"
happy,10,"[22, 24, 20, 10, 26]"
montero,10,"[10, 24]"
cool,10,"[22, 10, 28, 23, 24, 20]"
would,10,"[24, 27]"
voice,10,"[24, 10, 20, 22]"
mix,10,"[10, 24]"
bills,10,"[24, 17]"
speed,10,"[22, 24, 2, 10, 20, 27]"
pt,10,"[24, 10, 1, 20, 22, 23]"
coming,10,"[10, 24, 20, 1]"
jackson,10,"[1, 10, 24, 22]"
south,10,"[17, 20, 10, 25, 24]"
kills,10,"[1, 20, 24, 22]"
pranks,10,"[28, 22, 24]"
together,10,"[25, 24, 10, 22, 20]"
le,10,"[10, 22, 24]"
encanto,10,"[10, 1, 24]"
hearts,9,"[20, 10, 15]"
boyfriend,9,"[20, 10, 24, 26]"
august,9,"[10, 28, 17, 24]"
anitta,9,[10]
bruno,9,[10]
restaurant,9,"[24, 10, 28, 23, 27]"
eat,9,"[24, 20, 1]"
scary,9,"[20, 22, 17]"
animals,9,"[24, 10, 15, 27]"
e,9,"[10, 17, 26, 24]"
funeral,9,"[25, 24]"
painting,9,"[1, 24, 26, 10]"
mind,9,"[28, 23, 10, 24, 27, 20]"
roger,9,"[23, 1, 26]"
migos,9,"[10, 24]"
soul,9,"[10, 24, 1]"
nuclear,9,"[27, 25, 24, 28]"
anthony,9,"[10, 26, 17, 24]"
mission,9,"[1, 22, 28, 24]"
weird,9,"[24, 28, 1, 23]"
eminem,9,"[17, 10, 24]"
july,9,"[24, 17]"
clip,9,"[10, 24]"
outlands,9,[20]
surprised,9,[24]
pantoja,9,"[10, 22]"
dragons,9,"[1, 10, 20]"
mayweather,9,"[17, 24]"
lamborghini,9,"[24, 20, 22, 2]"
theres,9,"[10, 24, 20]"
larray,9,"[24, 22]"
jd,9,"[10, 22]"
finals,9,"[17, 23]"
crewmate,9,"[1, 20]"
light,9,"[20, 10, 22, 2, 27]"
memes,9,"[20, 24]"
tory,9,[10]
thats,9,"[10, 28, 22, 17, 20]"
ground,9,"[10, 25, 24]"
cry,9,"[10, 24, 20]"
trash,9,"[28, 1, 20, 24, 27, 25, 17]"
child,9,"[23, 24, 10, 22]"
se,9,"[10, 23, 22]"
amazon,9,"[24, 2, 25, 10, 22, 20]"
slow,9,"[24, 27, 28]"
massive,9,"[25, 20, 24]"
react,9,"[22, 24, 25, 26, 23, 17]"
beautiful,9,"[10, 24, 22]"
shop,9,"[20, 24, 23, 22, 10]"
heart,9,"[10, 22, 24, 20]"
smash,9,"[20, 24]"
_,9,"[10, 24]"
ring,9,"[10, 24, 20, 17]"
sam,9,"[10, 22, 24, 17]"
looks,9,"[24, 22, 20, 28, 26]"
fast,9,"[1, 10, 24, 27, 29, 19]"
lose,9,"[10, 20, 24]"
kevin,9,"[10, 17, 20, 24]"
much,9,"[24, 1, 23, 20, 2, 22, 28]"
flow,9,"[10, 24]"
gadgets,9,"[28, 24, 22]"
shit,9,[10]
bottle,9,"[22, 17, 24, 20, 10]"
color,9,"[22, 24, 20, 10, 29]"
channel,9,"[26, 20, 22]"
body,9,"[28, 10, 27, 17, 22]"
bailey,9,[24]
drop,9,"[28, 20, 24, 10, 17]"
swim,9,"[24, 1]"
sneak,9,"[24, 23, 1, 20, 10]"
sweet,9,"[10, 20, 24, 1]"
pooh,9,[10]
goal,9,"[28, 17, 24]"
shiesty,9,[10]
wish,9,"[10, 24, 22, 1]"
town,9,"[24, 20, 25]"
las,9,"[10, 22, 17]"
lalisa,9,"[10, 22, 24]"
kiss,9,"[10, 24, 26]"
help,9,"[24, 22, 20, 1, 25, 23]"
youve,9,"[24, 1, 27, 17]"
club,9,"[20, 10, 17, 22]"
queens,9,"[25, 24]"
dr,9,"[17, 24, 10, 20, 1]"
adult,9,"[24, 22, 1]"
addison,9,"[22, 24, 17]"
countdown,9,"[10, 17, 24, 2]"
paak,9,[10]
became,9,"[20, 27, 24, 22]"
truth,9,"[28, 22, 23, 24]"
mtv,9,"[24, 10]"
anniversary,9,"[1, 10, 20, 22, 24]"
diamond,9,"[24, 20, 10, 17, 23]"
beauty,9,"[28, 26, 22, 24]"
google,9,"[28, 24, 23, 20]"
kendrick,9,"[17, 22, 10, 24]"
mane,9,[10]
인기가요,9,"[24, 22]"
british,9,"[17, 24, 23, 27]"
victory,9,"[24, 25, 17, 20]"
barça,9,[17]
lore,9,"[1, 20, 26]"
russia,9,"[25, 27, 22]"
tell,8,"[24, 20, 10]"
roblox,8,"[20, 22]"
케플러,8,"[22, 10, 24]"
brawler,8,[20]
verano,8,[10]
wednesday,8,"[24, 23, 20, 1]"
replay,8,"[28, 10]"
cyberpunk,8,"[20, 27]"
survival,8,"[24, 20]"
shows,8,"[25, 22, 23, 24]"
button,8,"[24, 22, 23, 20]"
artist,8,"[24, 23, 10]"
adam,8,"[26, 1, 24, 20, 23]"
run,8,"[10, 22, 24]"
silk,8,[10]
keeps,8,"[24, 23, 26]"
customizing,8,"[24, 26]"
illegal,8,"[24, 20, 26]"
tank,8,"[24, 23, 17, 22, 27, 15, 20]"
start,8,"[10, 24, 20, 22]"
washington,8,"[25, 1, 29, 17, 23, 24]"
suns,8,"[24, 17, 23]"
camila,8,"[10, 24]"
meek,8,[10]
mill,8,[10]
brain,8,"[1, 24, 27, 28, 10, 20]"
pa,8,"[10, 22]"
oversimplified,8,"[27, 24]"
recipe,8,[23]
backrooms,8,[1]
right,8,"[10, 15, 27, 24]"
lonely,8,"[10, 22, 24, 27]"
jung,8,"[10, 17, 22]"
comes,8,"[20, 17, 22, 10, 2, 1]"
kook,8,"[10, 17, 22]"
유,8,"[10, 24]"
force,8,"[20, 25, 24, 10, 27]"
ross,8,"[10, 20]"
sound,8,"[17, 22, 24, 20, 10]"
trippie,8,"[10, 24, 22]"
cabello,8,"[10, 24]"
airpods,8,"[28, 17]"
longest,8,"[28, 17, 24, 20]"
redd,8,"[10, 24, 22]"
mamamoo,8,"[10, 24]"
ukrainian,8,"[24, 25, 22]"
buttons,8,"[22, 24]"
put,8,"[24, 20, 28, 22]"
mukbang,8,"[24, 20, 22]"
jr,8,"[17, 10, 24, 20]"
network,8,"[17, 23]"
klan,8,"[10, 24]"
lovesick,8,[10]
jhope,8,"[10, 20]"
fe,8,"[10, 24]"
december,8,"[10, 20, 17, 22, 23]"
최초공개,8,[24]
ppv,8,[17]
utd,8,[17]
almost,8,"[20, 24, 28, 22, 17]"
lady,8,"[10, 24, 23, 22]"
thanos,8,[20]
demon,8,"[1, 10, 20, 2, 22]"
boruto,8,[1]
rae,8,"[22, 24, 17]"
canelo,8,"[17, 24]"
divisional,8,[17]
lamar,8,"[17, 22, 10]"
eng,8,"[24, 10, 22]"
op,8,"[20, 22, 1, 27]"
guy,8,"[24, 17, 22, 1, 23]"
century,8,"[17, 1, 24]"
ugh,8,"[20, 24, 10]"
infinity,8,"[10, 24, 20]"
key,8,"[24, 10, 22, 17]"
whole,8,"[10, 24, 20]"
tested,8,"[22, 24, 27, 20, 28]"
nuggets,8,"[22, 17]"
uncle,8,"[23, 26]"
playoffs,8,[17]
tribute,8,"[25, 24, 22, 17, 10]"
took,8,"[22, 24, 20, 23]"
france,8,"[17, 24, 22]"
vevo,8,[10]
tu,8,[10]
johnny,8,"[24, 25, 10]"
scared,8,"[10, 20, 26, 27, 1]"
holland,8,"[24, 1]"
buying,8,"[22, 24, 23]"
vmas,8,[24]
keep,8,"[24, 25, 10, 17, 22]"
iii,8,"[24, 25, 17]"
mood,8,[10]
smile,8,"[27, 10, 1]"
walmart,8,"[22, 26, 24, 20, 23]"
explosion,8,"[20, 28, 22, 25, 27]"
exist,8,"[27, 24, 20]"
mi,8,[10]
reveals,8,"[24, 22, 17, 25, 29, 28]"
stone,8,"[24, 20, 10, 23]"
elon,8,"[24, 10, 28, 25]"
greatest,8,"[24, 17, 22, 20]"
peek,8,"[24, 1, 20, 10]"
reds,8,[17]
single,8,"[10, 24, 23, 20]"
april,8,"[24, 28, 17]"
store,8,"[22, 24, 26]"
fun,8,"[23, 24, 28]"
tricks,8,"[20, 24, 26]"
poirier,8,[17]
korea,8,"[24, 23, 29, 17, 27]"
anything,8,"[24, 23, 28, 20, 22]"
daughters,8,"[24, 22, 19]"
ravens,8,[17]
everton,8,[17]
dancing,8,"[10, 24]"
broken,8,"[24, 20, 25, 22, 10]"
kenia,8,[10]
cowboys,8,"[10, 17]"
아이브,8,"[10, 24, 22]"
loud,8,"[20, 23]"
floyd,8,"[17, 10, 24]"
midnight,8,"[10, 24, 28, 20]"
ruined,8,"[24, 28, 20, 23]"
mrbeasts,8,"[20, 24, 22, 27, 26]"
mens,8,"[17, 24, 26]"
extra,8,"[23, 22, 24]"
march,8,"[1, 28, 24, 17]"
wan,8,"[10, 24, 23]"
cbs,8,"[17, 25, 24]"
recap,8,"[17, 1, 10]"
concert,8,"[10, 24, 29]"
industry,8,"[10, 24, 22, 27]"
beast,8,"[24, 28, 17, 22]"
os,8,[10]
model,8,"[17, 28, 20, 24, 2]"
plays,8,"[22, 20, 24, 1, 23]"
eliminatorias,7,[17]
army,7,"[22, 27, 10, 24, 20]"
george,7,"[25, 20, 17, 22]"
mamba,7,"[10, 17, 24]"
election,7,"[25, 24]"
share,7,"[28, 25, 17, 29, 24]"
resumen,7,[17]
else,7,"[10, 22, 28]"
attack,7,"[28, 25, 17, 1, 20]"
impostor,7,[20]
auditions,7,"[24, 22]"
missed,7,"[20, 1, 24]"
harris,7,"[25, 10, 24]"
dugg,7,"[10, 24]"
four,7,"[10, 17, 24]"
heard,7,"[24, 27, 23]"
chainsaw,7,"[1, 17, 28]"
side,7,"[10, 17, 1, 25]"
inventions,7,"[24, 22]"
fair,7,"[24, 10]"
even,7,"[20, 23, 27, 24]"
mode,7,"[10, 20, 23, 22]"
macdonald,7,"[10, 22]"
shopping,7,"[23, 20, 24, 10, 22, 26]"
agent,7,"[20, 24, 25]"
velvet,7,[10]
xbox,7,"[20, 28, 24]"
imagine,7,"[10, 20, 22]"
meme,7,"[1, 20]"
climate,7,"[27, 25, 24, 10]"
fall,7,"[24, 20, 17, 22, 10, 26]"
indies,7,[17]
preseason,7,[17]
sbs,7,"[10, 24]"
digging,7,[24]
nobody,7,"[10, 20, 24]"
lesnar,7,[17]
nio,7,[10]
done,7,"[24, 28, 20, 10]"
worth,7,"[26, 24, 25]"
blues,7,"[24, 10, 20, 17]"
nayeon,7,[10]
reunion,7,"[1, 22, 24]"
proof,7,"[10, 24, 1, 22]"
enter,7,"[25, 20, 24, 22]"
law,7,"[24, 28, 27]"
track,7,[10]
speech,7,"[10, 25]"
tottenham,7,[17]
worse,7,"[24, 20]"
beyoncé,7,"[17, 10, 24]"
bretman,7,"[24, 22, 10]"
justice,7,"[23, 24, 1, 20]"
scientist,7,"[10, 25, 20, 24]"
마마무,7,[10]
land,7,"[28, 1, 20, 10, 22, 17]"
hits,7,"[10, 17, 2, 24]"
bryant,7,[10]
zombie,7,"[20, 24]"
hell,7,"[10, 25, 22, 17]"
leon,7,"[10, 26, 17]"
works,7,"[24, 27, 22, 28, 25]"
walk,7,"[10, 25, 22, 24, 1]"
control,7,"[24, 22, 19, 28, 27]"
hero,7,"[24, 20, 17, 10]"
generations,7,[1]
chamberlain,7,"[24, 26, 23]"
spice,7,"[10, 23, 24, 1]"
이달의,7,[24]
street,7,"[10, 23, 22, 1]"
kansas,7,[17]
드림,7,"[10, 24]"
saweetie,7,"[22, 10]"
steal,7,"[24, 20]"
ending,7,"[24, 20, 22, 1]"
nightmare,7,"[1, 20, 24, 22]"
dodo,7,[15]
putin,7,"[24, 25]"
hattrick,7,[17]
shooting,7,"[10, 27, 25, 17]"
dos,7,[10]
watching,7,"[24, 23, 20]"
lovato,7,"[10, 24]"
saturday,7,[10]
alive,7,"[24, 10, 22]"
vida,7,"[10, 22]"
foreign,7,[10]
cards,7,"[24, 20, 23]"
beer,7,"[20, 23, 10, 24]"
hall,7,"[20, 25, 17]"
sarian,7,[24]
trek,7,[24]
mavericks,7,[17]
quavo,7,[10]
aguilar,7,[10]
pass,7,[20]
duty,7,[20]
lights,7,"[24, 20]"
musk,7,"[24, 10, 28, 25]"
rey,7,"[10, 17]"
finish,7,"[17, 24, 10, 26]"
squad,7,"[1, 24]"
january,7,"[28, 17, 24]"
unpacked,7,[28]
returns,7,"[25, 24, 17, 22]"
head,7,"[24, 10, 25, 22]"
solved,7,"[20, 28, 1, 26]"
romeo,7,[10]
psy,7,[10]
planet,7,"[20, 24, 28]"
country,7,"[17, 10, 25, 20, 22, 23]"
map,7,"[25, 10, 20]"
t20i,7,[17]
jones,7,"[17, 1, 24, 10]"
shakira,7,"[24, 10]"
prison,7,"[24, 20]"
ipad,7,[28]
lo,7,"[10, 17]"
underwater,7,"[17, 24, 25]"
alex,7,"[24, 20]"
corleone,7,[10]
chencho,7,[10]
bahrain,7,[17]
drivers,7,"[10, 17, 24, 25]"
bella,7,"[22, 24, 10]"
rice,7,"[1, 26, 23]"
opened,7,"[24, 22]"
main,7,"[1, 17, 20]"
anime,7,"[1, 20, 24]"
drive,7,"[10, 22, 2]"
reacting,7,"[24, 20, 22]"
set,7,"[24, 1, 10, 22, 20]"
tree,7,"[10, 24, 20]"
warning,7,"[10, 20, 25]"
collection,7,"[22, 27, 10, 26, 20]"
demi,7,"[10, 24]"
send,7,"[20, 23, 17, 28, 24]"
sean,7,"[10, 24]"
touch,7,[20]
chance,7,"[10, 24]"
hardest,7,"[20, 27, 28]"
award,7,"[20, 24]"
turned,7,"[22, 24, 23, 27, 20]"
state,7,"[20, 2, 17]"
digest,7,[24]
ten,7,"[24, 10, 27, 17]"
iron,7,"[25, 10, 28, 24, 1]"
gq,7,"[1, 24]"
diy,7,"[23, 22, 26]"
lava,7,"[22, 20, 24, 28]"
left,7,"[10, 24, 28, 1]"
dangerous,7,"[24, 10]"
wife,7,"[23, 24, 22]"
trust,7,"[20, 24, 10]"
turns,7,"[20, 22]"
chaos,7,"[25, 1, 22, 20, 24, 10]"
easter,7,"[22, 10, 24, 20]"
month,7,"[24, 23]"
s21,7,[28]
spot,7,"[24, 10, 1]"
date,7,"[23, 20, 24, 10]"
piece,7,"[10, 1, 25, 24]"
slime,7,"[24, 22, 20, 26]"
architectural,7,[24]
falling,7,"[10, 24, 27, 1]"
bucks,6,"[27, 17]"
doesnt,6,"[20, 27, 24, 22, 25]"
poarch,6,"[22, 24, 10]"
terrifying,6,"[24, 23, 22]"
darell,6,[10]
taylors,6,[10]
sserafim,6,"[10, 24]"
fireworks,6,"[24, 25]"
myers,6,[10]
ty,6,"[10, 22]"
huge,6,"[28, 17]"
anymore,6,"[20, 24, 22, 25]"
hole,6,"[27, 24, 23]"
studio,6,"[10, 22, 24, 28]"
saved,6,"[20, 27, 24, 1]"
mgm,6,[24]
elvis,6,"[17, 1, 10, 24]"
fans,6,"[22, 24, 20, 10]"
viewed,6,"[24, 20, 23]"
results,6,"[25, 26, 24, 23]"
civilization,6,"[20, 27, 22, 24]"
donald,6,[25]
gang,6,"[24, 10, 20]"
battlefield,6,[20]
answers,6,"[24, 22]"
explained,6,"[25, 20, 28, 24]"
bang,6,"[10, 22, 1, 23]"
bangladesh,6,[17]
sad,6,"[24, 23, 1, 22]"
r,6,[10]
petras,6,"[10, 20, 24]"
warden,6,"[1, 20]"
beating,6,"[28, 20, 17]"
weirdest,6,"[24, 17, 1, 22, 20]"
kimberly,6,"[22, 24]"
tommy,6,"[24, 10, 17, 20]"
buy,6,"[24, 20, 22]"
tmobile,6,"[28, 26]"
villagers,6,"[20, 24]"
hospital,6,"[24, 20, 22, 17]"
hour,6,"[10, 24, 22]"
maze,6,"[28, 20, 24, 17]"
farm,6,"[22, 10, 20, 2]"
stephen,6,"[22, 10, 17, 24]"
무대,6,[24]
gray,6,"[24, 22, 10]"
workers,6,"[24, 22]"
glass,6,"[24, 22, 23, 20, 26]"
gunna,6,"[24, 10]"
grammy,6,"[10, 24]"
bomb,6,"[10, 28]"
3d,6,"[20, 26, 27]"
tomorrow,6,"[10, 24]"
엔하이픈,6,"[10, 22]"
halftime,6,"[17, 24, 10]"
rocky,6,"[10, 24, 20]"
rhythm,6,"[24, 10, 1]"
disaster,6,"[24, 20, 25]"
later,6,"[10, 22, 24, 28, 25]"
objects,6,"[22, 24, 26, 27]"
carrion,6,[10]
ios,6,"[22, 28]"
풀버전,6,[24]
wanted,6,"[10, 20, 24]"
hello,6,"[10, 24, 22, 20]"
snake,6,"[10, 1]"
missing,6,"[10, 24, 25, 17]"
burna,6,[10]
ricch,6,"[10, 24]"
amber,6,"[24, 25]"
idol,6,"[23, 24]"
answer,6,"[24, 22, 27]"
searched,6,"[24, 22]"
give,6,"[10, 24, 17, 20, 15, 23]"
jedi,6,"[10, 20, 24]"
cruise,6,"[1, 24, 28]"
pilots,6,"[10, 25]"
subscriber,6,"[24, 22]"
chlöe,6,"[10, 24]"
conor,6,"[17, 22, 24]"
es,6,"[10, 22]"
surgery,6,"[20, 24, 26, 27]"
marca,6,[10]
women,6,[24]
telling,6,"[22, 24]"
jon,6,"[10, 24]"
copa,6,"[10, 17]"
winner,6,"[10, 20, 17, 24]"
theme,6,"[17, 20, 22, 27]"
conference,6,[17]
contest,6,[17]
montaner,6,[10]
por,6,"[10, 22]"
shield,6,"[20, 26, 17, 1, 28]"
seoul,6,"[19, 17, 26, 2, 29]"
gathering,6,"[20, 24]"
nikkietutorials,6,"[24, 26]"
daughter,6,"[22, 24, 10]"
hear,6,"[24, 25]"
fire,6,"[25, 22, 17, 1, 20, 27]"
speaks,6,"[28, 24, 25]"
blue,6,"[10, 20]"
con,6,"[20, 24, 10]"
stay,6,"[10, 22, 20, 26]"
pool,6,"[17, 28, 24, 22]"
grizzlies,6,[17]
base,6,"[24, 20, 23]"
gee,6,[10]
motion,6,"[10, 24]"
est,6,[10]
rams,6,[17]
lopez,6,[10]
killed,6,"[27, 25, 26, 20]"
mad,6,"[24, 23, 10, 20]"
system,6,"[24, 20, 27]"
joji,6,"[10, 24]"
police,6,"[1, 25, 10, 24, 23]"
train,6,"[24, 20, 10]"
punjabi,6,[10]
drag,6,"[2, 20]"
aujla,6,[10]
solar,6,"[10, 20, 27]"
brock,6,[17]
fighting,6,"[25, 22, 24, 17]"
searchlight,6,[1]
karan,6,[10]
