group, likes, dislikes, comments
10,48822,295,1317
24,1297682,22626,76812
26,22779,115,2220
17,1189,76,107
17,26613,479,2904
24,43493,230,3146
22,20905,463,817
10,41361,63,4385
20,279967,882,25590
10,123749,2789,9480
22,23863,357,1485
23,48987,513,10089
24,37376,229,1788
25,41717,1359,4909
23,260030,2100,18334
19,2803,23,182
