group, likes, dislikes, comments
Gaming,491065,6656,37097
Sports,18792,341,1836
Entertainment,208347,2798,3033
Sports,120083,1448,9435
Comedy,42938,312,1722
Howto & Style,33537,177,5085
Entertainment,34746,234,3097
Entertainment,297158,2752,1381
People & Blogs,18537,124,1116
Music,59417,594,3572
News & Politics,14848,743,0
Gaming,27037,305,1268
Gaming,30351,1245,1927
Gaming,123744,2116,1520
Autos & Vehicles,32812,277,2595
Comedy,112810,517,7045
People & Blogs,198118,4245,6067
Sports,31973,979,4013
Sports,3567,1783,2940
Gaming,25581,446,2476
Music,64984,494,3408
Sports,17683,718,1735
Gaming,13687,304,812
Pets & Animals,17953,235,1729
Entertainment,8004,365,1234
Music,21358,333,1062
Howto & Style,23142,136,1534
Music,98486,2423,8475
Music,6701,102,530
People & Blogs,17513,172,701
Sports,61300,376,3984
Music,105421,498,3366
Gaming,11484,264,663
Music,59419,691,4339
People & Blogs,11184,123,345
Entertainment,97635,1344,5257
Music,12896,210,884
Music,23362,395,1538
Gaming,6164,169,363
Gaming,392265,5303,17275
Gaming,66470,758,3025
Gaming,20123,140,1452
Music,32900,253,1523
People & Blogs,51883,1242,368
Entertainment,32351,222,5471
Gaming,15652,295,2565
Gaming,11533,359,1303
